['agatisiez', 'agatifiez']
['agatisions', 'agatifions']
['alcoolisiez', 'alcoolifiez']
['alcoolisions', 'alcoolifions']
['ammonisiez', 'ammonifiez']
['ammonisions', 'ammonifions']
['antislash', 'antiflash']
['antiflash', 'antislash']
['asin', 'afin']
['assable', 'affable']
['assables', 'affables']
['assamais', 'affamais']
['assena', 'affena']
['assenai', 'affenai']
['assenaient', 'affenaient']
['assenais', 'affenais']
['assenait', 'affenait']
['assenant', 'affenant']
['assenas', 'affenas']
['assenasse', 'affenasse']
['affenasse', 'assenasse']
['assenassent', 'affenassent']
['affenassent', 'assenassent']
['assenasses', 'affenasses']
['affenasses', 'assenasses']
['assenassiez', 'affenassiez']
['affenassiez', 'assenassiez']
['assenassions', 'affenassions']
['affenassions', 'assenassions']
['assener', 'affener']
['assenez', 'affenez']
['asseniez', 'affeniez']
['assenions', 'affenions']
['assenons', 'affenons']
['assenâmes', 'affenâmes']
['assenât', 'affenât']
['assenâtes', 'affenâtes']
['assenèrent', 'affenèrent']
['assené', 'affené']
['assenée', 'affenée']
['assenées', 'affenées']
['assenés', 'affenés']
['assola', 'affola']
['assolai', 'affolai']
['assolaient', 'affolaient']
['assolais', 'affolais']
['assolait', 'affolait']
['assolant', 'affolant']
['assolas', 'affolas']
['assolasse', 'affolasse']
['affolasse', 'assolasse']
['assolassent', 'affolassent']
['affolassent', 'assolassent']
['assolasses', 'affolasses']
['affolasses', 'assolasses']
['assolassiez', 'affolassiez']
['affolassiez', 'assolassiez']
['assolassions', 'affolassions']
['affolassions', 'assolassions']
['assole', 'affole']
['assolement', 'affolement']
['assolements', 'affolements']
['assolent', 'affolent']
['assoler', 'affoler']
['assolera', 'affolera']
['assolerai', 'affolerai']
['assoleraient', 'affoleraient']
['assolerais', 'affolerais']
['assolerait', 'affolerait']
['assoleras', 'affoleras']
['assolerez', 'affolerez']
['assoleriez', 'affoleriez']
['assolerions', 'affolerions']
['assolerons', 'affolerons']
['assoleront', 'affoleront']
['assoles', 'affoles']
['assolez', 'affolez']
['assoliez', 'affoliez']
['assolions', 'affolions']
['assolons', 'affolons']
['assolâmes', 'affolâmes']
['assolât', 'affolât']
['assolâtes', 'affolâtes']
['assolèrent', 'affolèrent']
['assolé', 'affolé']
['assolée', 'affolée']
['assolées', 'affolées']
['assolés', 'affolés']
['assura', 'affura']
['assurai', 'affurai']
['assuraient', 'affuraient']
['assurais', 'affurais']
['assurait', 'affurait']
['assurant', 'affurant']
['assuras', 'affuras']
['assurasse', 'affurasse']
['affurasse', 'assurasse']
['assurassent', 'affurassent']
['affurassent', 'assurassent']
['assurasses', 'affurasses']
['affurasses', 'assurasses']
['assurassiez', 'affurassiez']
['affurassiez', 'assurassiez']
['assurassions', 'affurassions']
['affurassions', 'assurassions']
['assure', 'affure']
['assurent', 'affurent']
['assurer', 'affurer']
['assurera', 'affurera']
['assurerai', 'affurerai']
['assureraient', 'affureraient']
['assurerais', 'affurerais']
['assurerait', 'affurerait']
['assureras', 'affureras']
['assurerez', 'affurerez']
['assureriez', 'affureriez']
['assurerions', 'affurerions']
['assurerons', 'affurerons']
['assureront', 'affureront']
['assures', 'affures']
['assurez', 'affurez']
['assuriez', 'affuriez']
['assurions', 'affurions']
['assurons', 'affurons']
['assurâmes', 'affurâmes']
['assurât', 'affurât']
['assurâtes', 'affurâtes']
['assurèrent', 'affurèrent']
['assuré', 'affuré']
['assurée', 'affurée']
['assurées', 'affurées']
['assurés', 'affurés']
['assène', 'affène']
['assènent', 'affènent']
['assènera', 'affènera']
['assènerai', 'affènerai']
['assèneraient', 'affèneraient']
['assènerais', 'affènerais']
['assènerait', 'affènerait']
['assèneras', 'affèneras']
['assènerez', 'affènerez']
['assèneriez', 'affèneriez']
['assènerions', 'affènerions']
['assènerons', 'affènerons']
['assèneront', 'affèneront']
['assènes', 'affènes']
['attisa', 'attifa']
['attisai', 'attifai']
['attisaient', 'attifaient']
['attisais', 'attifais']
['attisait', 'attifait']
['attisant', 'attifant']
['attisas', 'attifas']
['attisasse', 'attifasse']
['attifasse', 'attisasse']
['attisassent', 'attifassent']
['attifassent', 'attisassent']
['attisasses', 'attifasses']
['attifasses', 'attisasses']
['attisassiez', 'attifassiez']
['attifassiez', 'attisassiez']
['attisassions', 'attifassions']
['attifassions', 'attisassions']
['attise', 'attife']
['attisement', 'attifement']
['attisements', 'attifements']
['attisent', 'attifent']
['attiser', 'attifer']
['attisera', 'attifera']
['attiserai', 'attiferai']
['attiseraient', 'attiferaient']
['attiserais', 'attiferais']
['attiserait', 'attiferait']
['attiseras', 'attiferas']
['attiserez', 'attiferez']
['attiseriez', 'attiferiez']
['attiserions', 'attiferions']
['attiserons', 'attiferons']
['attiseront', 'attiferont']
['attises', 'attifes']
['attisez', 'attifez']
['attisiez', 'attifiez']
['attisions', 'attifions']
['attisons', 'attifons']
['attisâmes', 'attifâmes']
['attisât', 'attifât']
['attisâtes', 'attifâtes']
['attisèrent', 'attifèrent']
['attisé', 'attifé']
['attisée', 'attifée']
['attisées', 'attifées']
['attisés', 'attifés']
['baronisiez', 'baronifiez']
['baronisions', 'baronifions']
['basse', 'baffe']
['basses', 'baffes']
['bassons', 'baffons']
['bissa', 'biffa']
['bissai', 'biffai']
['bissaient', 'biffaient']
['bissais', 'biffais']
['bissait', 'biffait']
['bissant', 'biffant']
['bissas', 'biffas']
['bissasse', 'biffasse']
['biffasse', 'bissasse']
['bissassent', 'biffassent']
['biffassent', 'bissassent']
['bissasses', 'biffasses']
['biffasses', 'bissasses']
['bissassiez', 'biffassiez']
['biffassiez', 'bissassiez']
['bissassions', 'biffassions']
['biffassions', 'bissassions']
['bisse', 'biffe']
['bissent', 'biffent']
['bisser', 'biffer']
['bissera', 'biffera']
['bisserai', 'bifferai']
['bisseraient', 'bifferaient']
['bisserais', 'bifferais']
['bisserait', 'bifferait']
['bisseras', 'bifferas']
['bisserez', 'bifferez']
['bisseriez', 'bifferiez']
['bisserions', 'bifferions']
['bisserons', 'bifferons']
['bisseront', 'bifferont']
['bisses', 'biffes']
['bissez', 'biffez']
['bissiez', 'biffiez']
['bissions', 'biffions']
['bissons', 'biffons']
['bissâmes', 'biffâmes']
['bissât', 'biffât']
['bissâtes', 'biffâtes']
['bissèrent', 'biffèrent']
['bissé', 'biffé']
['bissée', 'biffée']
['bissées', 'biffées']
['bissés', 'biffés']
['biston', 'bifton']
['bistons', 'biftons']
['boussette', 'bouffette']
['boussettes', 'bouffettes']
['brisa', 'brifa']
['brisai', 'brifai']
['brisaient', 'brifaient']
['brisais', 'brifais']
['brisait', 'brifait']
['brisant', 'brifant']
['brisas', 'brifas']
['brisasse', 'brifasse']
['brifasse', 'brisasse']
['brisassent', 'brifassent']
['brifassent', 'brisassent']
['brisasses', 'brifasses']
['brifasses', 'brisasses']
['brisassiez', 'brifassiez']
['brifassiez', 'brisassiez']
['brisassions', 'brifassions']
['brifassions', 'brisassions']
['brise', 'brife']
['brisent', 'brifent']
['briser', 'brifer']
['brisera', 'brifera']
['briserai', 'briferai']
['briseraient', 'briferaient']
['briserais', 'briferais']
['briserait', 'briferait']
['briseras', 'briferas']
['briserez', 'briferez']
['briseriez', 'briferiez']
['briserions', 'briferions']
['briserons', 'briferons']
['briseront', 'briferont']
['brises', 'brifes']
['brisez', 'brifez']
['brisiez', 'brifiez']
['brisions', 'brifions']
['brisons', 'brifons']
['brisse', 'briffe']
['brisses', 'briffes']
['brisâmes', 'brifâmes']
['brisât', 'brifât']
['brisâtes', 'brifâtes']
['brisèrent', 'brifèrent']
['brisé', 'brifé']
['brisée', 'brifée']
['brisées', 'brifées']
['brisés', 'brifés']
['bêtisier', 'bêtifier']
['bêtisiez', 'bêtifiez']
['bêtisions', 'bêtifions']
['calorisiez', 'calorifiez']
['calorisions', 'calorifions']
['carnisiez', 'carnifiez']
['carnisions', 'carnifions']
['caste', 'cafte']
['castes', 'caftes']
['casé', 'café']
['caséine', 'caféine']
['caséines', 'caféines']
['casés', 'cafés']
['chaussa', 'chauffa']
['chaussage', 'chauffage']
['chaussages', 'chauffages']
['chaussai', 'chauffai']
['chaussaient', 'chauffaient']
['chaussais', 'chauffais']
['chaussait', 'chauffait']
['chaussant', 'chauffant']
['chaussante', 'chauffante']
['chaussantes', 'chauffantes']
['chaussants', 'chauffants']
['chaussas', 'chauffas']
['chaussasse', 'chauffasse']
['chauffasse', 'chaussasse']
['chaussassent', 'chauffassent']
['chauffassent', 'chaussassent']
['chaussasses', 'chauffasses']
['chauffasses', 'chaussasses']
['chaussassiez', 'chauffassiez']
['chauffassiez', 'chaussassiez']
['chaussassions', 'chauffassions']
['chauffassions', 'chaussassions']
['chausse', 'chauffe']
['chaussent', 'chauffent']
['chausser', 'chauffer']
['chaussera', 'chauffera']
['chausserai', 'chaufferai']
['chausseraient', 'chaufferaient']
['chausserais', 'chaufferais']
['chausserait', 'chaufferait']
['chausseras', 'chaufferas']
['chausserez', 'chaufferez']
['chausseriez', 'chaufferiez']
['chausserions', 'chaufferions']
['chausserons', 'chaufferons']
['chausseront', 'chaufferont']
['chausses', 'chauffes']
['chausseur', 'chauffeur']
['chausseurs', 'chauffeurs']
['chausseuse', 'chauffeuse']
['chauffeuse', 'chausseuse']
['chausseuses', 'chauffeuses']
['chauffeuses', 'chausseuses']
['chaussez', 'chauffez']
['chaussiez', 'chauffiez']
['chaussions', 'chauffions']
['chaussons', 'chauffons']
['chaussâmes', 'chauffâmes']
['chaussât', 'chauffât']
['chaussâtes', 'chauffâtes']
['chaussèrent', 'chauffèrent']
['chaussé', 'chauffé']
['chaussée', 'chauffée']
['chaussées', 'chauffées']
['chaussés', 'chauffés']
['conserve', 'conferve']
['conserves', 'conferves']
['consonantisiez', 'consonantifiez']
['consonantifiez', 'consonantisiez']
['consonantisions', 'consonantifions']
['consonantifions', 'consonantisions']
['consort', 'confort']
['consorts', 'conforts']
['corporisiez', 'corporifiez']
['corporisions', 'corporifions']
['coussin', 'couffin']
['coussins', 'couffins']
['cyanoser', 'cyanofer']
['dosser', 'doffer']
['désaire', 'défaire']
['désensable', 'défensable']
['défensable', 'désensable']
['désensables', 'défensables']
['défensables', 'désensables']
['désertisiez', 'désertifiez']
['désertifiez', 'désertisiez']
['désertisions', 'désertifions']
['désertifions', 'désertisions']
['désila', 'défila']
['désilage', 'défilage']
['désilages', 'défilages']
['désilai', 'défilai']
['désilaient', 'défilaient']
['désilais', 'défilais']
['désilait', 'défilait']
['désilant', 'défilant']
['désilas', 'défilas']
['désilasse', 'défilasse']
['défilasse', 'désilasse']
['désilassent', 'défilassent']
['défilassent', 'désilassent']
['désilasses', 'défilasses']
['défilasses', 'désilasses']
['désilassiez', 'défilassiez']
['défilassiez', 'désilassiez']
['désilassions', 'défilassions']
['défilassions', 'désilassions']
['désile', 'défile']
['désilent', 'défilent']
['désiler', 'défiler']
['désilera', 'défilera']
['désilerai', 'défilerai']
['désileraient', 'défileraient']
['désilerais', 'défilerais']
['désilerait', 'défilerait']
['désileras', 'défileras']
['désilerez', 'défilerez']
['désileriez', 'défileriez']
['désilerions', 'défilerions']
['désilerons', 'défilerons']
['désileront', 'défileront']
['désiles', 'défiles']
['désileuse', 'défileuse']
['défileuse', 'désileuse']
['désileuses', 'défileuses']
['défileuses', 'désileuses']
['désilez', 'défilez']
['désiliez', 'défiliez']
['désilions', 'défilions']
['désilons', 'défilons']
['désilâmes', 'défilâmes']
['désilât', 'défilât']
['désilâtes', 'défilâtes']
['désilèrent', 'défilèrent']
['désilé', 'défilé']
['désilée', 'défilée']
['désilées', 'défilées']
['désilés', 'défilés']
['désirent', 'défirent']
['désis', 'défis']
['désoliez', 'défoliez']
['désolions', 'défolions']
['désormais', 'déformais']
['enserra', 'enferra']
['enserrai', 'enferrai']
['enserraient', 'enferraient']
['enserrais', 'enferrais']
['enserrait', 'enferrait']
['enserrant', 'enferrant']
['enserras', 'enferras']
['enserrasse', 'enferrasse']
['enferrasse', 'enserrasse']
['enserrassent', 'enferrassent']
['enferrassent', 'enserrassent']
['enserrasses', 'enferrasses']
['enferrasses', 'enserrasses']
['enserrassiez', 'enferrassiez']
['enferrassiez', 'enserrassiez']
['enserrassions', 'enferrassions']
['enferrassions', 'enserrassions']
['enserre', 'enferre']
['enserrent', 'enferrent']
['enserrer', 'enferrer']
['enserrera', 'enferrera']
['enserrerai', 'enferrerai']
['enserreraient', 'enferreraient']
['enserrerais', 'enferrerais']
['enserrerait', 'enferrerait']
['enserreras', 'enferreras']
['enserrerez', 'enferrerez']
['enserreriez', 'enferreriez']
['enserrerions', 'enferrerions']
['enserrerons', 'enferrerons']
['enserreront', 'enferreront']
['enserres', 'enferres']
['enserrez', 'enferrez']
['enserriez', 'enferriez']
['enserrions', 'enferrions']
['enserrons', 'enferrons']
['enserrâmes', 'enferrâmes']
['enserrât', 'enferrât']
['enserrâtes', 'enferrâtes']
['enserrèrent', 'enferrèrent']
['enserré', 'enferré']
['enserrée', 'enferrée']
['enserrées', 'enferrées']
['enserrés', 'enferrés']
['ensila', 'enfila']
['ensilage', 'enfilage']
['ensilages', 'enfilages']
['ensilai', 'enfilai']
['ensilaient', 'enfilaient']
['ensilais', 'enfilais']
['ensilait', 'enfilait']
['ensilant', 'enfilant']
['ensilas', 'enfilas']
['ensilasse', 'enfilasse']
['enfilasse', 'ensilasse']
['ensilassent', 'enfilassent']
['enfilassent', 'ensilassent']
['ensilasses', 'enfilasses']
['enfilasses', 'ensilasses']
['ensilassiez', 'enfilassiez']
['enfilassiez', 'ensilassiez']
['ensilassions', 'enfilassions']
['enfilassions', 'ensilassions']
['ensile', 'enfile']
['ensilent', 'enfilent']
['ensiler', 'enfiler']
['ensilera', 'enfilera']
['ensilerai', 'enfilerai']
['ensileraient', 'enfileraient']
['ensilerais', 'enfilerais']
['ensilerait', 'enfilerait']
['ensileras', 'enfileras']
['ensilerez', 'enfilerez']
['ensileriez', 'enfileriez']
['ensilerions', 'enfilerions']
['ensilerons', 'enfilerons']
['ensileront', 'enfileront']
['ensiles', 'enfiles']
['ensileuse', 'enfileuse']
['enfileuse', 'ensileuse']
['ensileuses', 'enfileuses']
['enfileuses', 'ensileuses']
['ensilez', 'enfilez']
['ensiliez', 'enfiliez']
['ensilions', 'enfilions']
['ensilons', 'enfilons']
['ensilâmes', 'enfilâmes']
['ensilât', 'enfilât']
['ensilâtes', 'enfilâtes']
['ensilèrent', 'enfilèrent']
['ensilé', 'enfilé']
['ensilée', 'enfilée']
['ensilées', 'enfilées']
['ensilés', 'enfilés']
['ensouillais', 'enfouillais']
['ensouillant', 'enfouillant']
['ensouille', 'enfouille']
['ensouiller', 'enfouiller']
['ensouillé', 'enfouillé']
['ensouillée', 'enfouillée']
['enfuisse', 'ensuiffe']
['enfuissent', 'ensuiffent']
['enfuisses', 'ensuiffes']
['enfuissiez', 'ensuiffiez']
['enfuissions', 'ensuiffions']
['ensuis', 'enfuis']
['ensuit', 'enfuit']
['fasse', 'faffe']
['fasses', 'faffes']
['fluidisiez', 'fluidifiez']
['fluidisions', 'fluidifions']
['gressier', 'greffier']
['gressiers', 'greffiers']
['généralise', 'généralife']
['homogénéisiez', 'homogénéifiez']
['homogénéisions', 'homogénéifions']
['idiotisiez', 'idiotifiez']
['idiotisions', 'idiotifions']
['insecte', 'infecte']
['insectes', 'infectes']
['insondé', 'infondé']
['insondée', 'infondée']
['insondées', 'infondées']
